(-265.0, 196.0, 0.0)
(-160.0, 196.0, 0.0)
(-55.0, 196.0, 0.0)
(50.0, 196.0, 0.0)
(155.0, 196.0, 0.0)
(260.0, 196.0, 0.0)
(-265.0, 85.0, 0.0)
(-160.0, 85.0, 0.0)
(-55.0, 85.0, 0.0)
(50.0, 85.0, 0.0)
(155.0, 85.0, 0.0)
(260.0, 85.0, 0.0)
(-265.0, -26.0, 0.0)
(-160.0, -26.0, 0.0)
(-55.0, -26.0, 0.0)
(50.0, -26.0, 0.0)
(155.0, -26.0, 0.0)
(260.0, -26.0, 0.0)
(-265.0, -137.0, 0.0)
(-160.0, -137.0, 0.0)
(-55.0, -137.0, 0.0)
(50.0, -137.0, 0.0)
(155.0, -137.0, 0.0)
(260.0, -137.0, 0.0)
(-265.0, -248.0, 0.0)
(-160.0, -248.0, 0.0)
(-55.0, -248.0, 0.0)
(50.0, -248.0, 0.0)
(155.0, -248.0, 0.0)
(260.0, -248.0, 0.0)
(-215.0, -435.0, 0.0)
(-109.0, -435.0, 0.0)
(-3.0, -435.0, 0.0)
(103.0, -435.0, 0.0)
(209.0, -435.0, 0.0)
(-265.0, 196.0, 0.0)
(-160.0, 196.0, 0.0)
(-55.0, 196.0, 0.0)
(50.0, 196.0, 0.0)
(155.0, 196.0, 0.0)
(260.0, 196.0, 0.0)
(-265.0, 85.0, 0.0)
(-160.0, 85.0, 0.0)
(-55.0, 85.0, 0.0)
(50.0, 85.0, 0.0)
(155.0, 85.0, 0.0)
(260.0, 85.0, 0.0)
(-265.0, -26.0, 0.0)
(-160.0, -26.0, 0.0)
(-55.0, -26.0, 0.0)
(50.0, -26.0, 0.0)
(155.0, -26.0, 0.0)
(260.0, -26.0, 0.0)
(-265.0, -137.0, 0.0)
(-160.0, -137.0, 0.0)
(-55.0, -137.0, 0.0)
(50.0, -137.0, 0.0)
(155.0, -137.0, 0.0)
(260.0, -137.0, 0.0)
(-265.0, -248.0, 0.0)
(-160.0, -248.0, 0.0)
(-55.0, -248.0, 0.0)
(50.0, -248.0, 0.0)
(155.0, -248.0, 0.0)
(260.0, -248.0, 0.0)
